,counts,type,mean,std
ABG Base excess (mEq/L),18135,Labs,-0.831177734074,3.01116299796
ABG FiO2,7659,Labs,39.942757277,10.7002281991
ABG HCO3 (mEq/L),18141,Labs,24.5389982073,2.90381800152
ABG O2 sat (%),18128,Labs,96.4951615115,2.80900584313
ABG PCO2 (mmHg),18206,Labs,42.7983735843,6.69892314607
ABG PO2 (mmHg),18252,Labs,136.776790818,45.9523385543
ABG TCO2 (mEq/L),18087,Labs,25.8121448761,3.0129086565
ABG pH,18247,Labs,7.36885718622,0.0604856660243
ALT (SGPT) (units/L),10502,Labs,142.222710685,94.7300693202
AST (SGOT) (units/L),10498,Labs,195.938518499,185.989441991
Abdominal girth (cm),5044,Vitals,54.8923779413,2.49180720301
Acetaminophen,17209,Drugs,0.0242501375331,0.107844706167
Acetaminophen/Codeine,686,Drugs,0.00138753548385,0.00661688076519
Acetazolamide,645,Drugs,0.000185892820652,0.00201705416886
Acetylcysteine,2288,Drugs,0.000487574232567,0.0017648184403
Acyclovir,1950,Drugs,0.00120419431286,0.00583759089391
Age,1113529,,8.26968787061,0.00378104941785
Albumin,1172,Drugs,0.000523084971859,0.00430704395297
Albumin level (g/dL),10679,Labs,2.99114218554,0.336202624428
Albuterol,13349,Drugs,0.00998084849768,0.0287193528458
Alkaline phosphatase (units/L),10487,Labs,160.360818206,32.6237659633
Alteplase,1263,Drugs,0.000519831228242,0.0061606074871
Amikacin,1328,Drugs,0.00103470187406,0.00518971362541
Aminocaproic Acid,706,Drugs,0.000251937513813,0.000719886196869
Aminophylline,3637,Drugs,0.00359575770438,0.00507363771366
Amiodarone,2061,Drugs,0.000429502416329,0.000864145015017
Amlodipine,473,Drugs,0.000363755128197,0.00219436883134
Amphotericin B Lipid Complex,737,Drugs,0.000271414411118,0.00232424231738
Ampicillin,1588,Drugs,0.00147413586203,0.006354953916
Ampicillin/Sulbactam,1772,Drugs,0.00178884412988,0.00670678748519
Amplitude (HFOV) (deltaP),2663,Interventions,58.8024644619,5.66087907555
Amylase (units/L),985,Labs,92.5243712992,72.0819055412
Aspirin,939,Drugs,0.00074055622097,0.00438204040025
Azithromycin,564,Drugs,0.000438080796104,0.00343918816552
B-type Natriuretic Peptide (pg/mL),590,Labs,722.581298229,618.885440494
BUN (mg/dL),30612,Labs,12.5063796804,4.16125768862
Baclofen,1493,Drugs,0.00117845449477,0.00472891895864
Bands %,7418,Labs,9.2293898712,6.51937568181
Basophils%,14344,Labs,0.252930636303,0.20831090113
Bicarbonate serum (mEq/L),45403,Labs,27.8629699992,5.67621971062
Bilirubin conjugated (mg/dL),1156,Labs,3.17138192566,1.47352469494
Bilirubin total (mg/dL),10499,Labs,1.62381074487,0.687441698016
Bilirubin unconjugated (mg/dL),1156,Labs,1.28428035279,0.379913751281
Bladder pressure (mmHg),1194,Vitals,14.4321155584,4.56217326003
Budesonide,6133,Drugs,0.00433242191161,0.0209688144267
Bumetanide,1427,Drugs,0.000187268762179,0.000851126647369
C-reactive protein (mg/dL),4528,Labs,8.52956532445,4.34713136116
CBG Base excess,9387,Labs,0.544215932493,2.59913516005
CBG FiO2,3521,Labs,42.1682207299,9.56116119462
CBG HCO3 (mEq/L),9395,Labs,25.9165474435,2.59543997436
CBG O2 sat  (%),9346,Labs,91.0096165324,4.956217682
CBG PCO2 (mmHg),9409,Labs,44.1409563091,6.78573148038
CBG PO2 (mmHg),9412,Labs,76.4092533742,17.8702886065
CBG TCO2 (mEq/L),9379,Labs,27.2834472581,2.72794635448
CBG pH,9412,Labs,7.37891835606,0.0544788875571
CSF RBC,630,Labs,14887.9025824,27206.1807635
CSF WBC,629,Labs,130.080386216,312.288867488
Calcium Chloride,13969,Drugs,0.00441331538891,0.013740958246
Calcium Gluconate,6548,Drugs,0.00202633635296,0.00562117561479
Calcium ionized (mg/dL),28816,Labs,4.70828185101,0.353595782727
Calcium total (mg/dL),30706,Labs,8.68425777631,0.456024657998
Capillary refill rate (sec),264195,Vitals,2.27606092315,0.250706956663
Cefazolin,6460,Drugs,0.0112509969788,0.0486912676425
Cefepime,3224,Drugs,0.00194859095346,0.00943685300382
Cefotaxime,4177,Drugs,0.00336845369565,0.0151890755952
Ceftazidime,2246,Drugs,0.00427621333336,0.0193873071417
Ceftriaxone,1528,Drugs,0.00156771905914,0.0105785357699
Central Venous Pressure (mmHg),82760,Vitals,7.81155666775,3.92192984055
Cerebral perfusion pressure (mmHg),24271,Vitals,67.7960021482,11.0451627206
Chloride (mEq/L),32319,Labs,105.865798654,3.28730770417
Chlorothiazide,4092,Drugs,0.00118324165192,0.00632000060925
Ciprofloxacin HCL,470,Drugs,0.000282978662302,0.00174325935539
Cisatracurium,2257,Drugs,0.000411179121121,0.00127227004663
Clindamycin,2115,Drugs,0.00253246845699,0.0104531233846
Clonazepam,718,Drugs,0.000646984296427,0.00280577402023
Clonidine HCl,641,Drugs,0.000319465403177,0.00297100161051
Creatinine (mg/dL),30622,Labs,0.630633703687,0.163363506207
Desmopressin,976,Drugs,0.000779642179967,0.00384660669755
Dexamethasone,7609,Drugs,0.0113883769659,0.0412247284051
Dexmedetomidine,29066,Drugs,0.0107808315283,0.0219519640479
DiastolicBP,594648,Vitals,56.7377360243,10.8765552931
Diazepam,3144,Drugs,0.00529179258046,0.0213734317863
Digoxin,1131,Drugs,0.000611658882605,0.00328532205232
Diphenhydramine HCl,5335,Drugs,0.00499712742586,0.0284305415688
Dobutamine,4149,Drugs,0.00113480016574,0.00217805474672
Dopamine,84145,Drugs,0.031409521705,0.0502589609516
ECMO hours,1825,Interventions,152.914260516,87.8719664925
EPAP (cmH2O),5079,Interventions,6.74888278637,0.501030338833
Enalapril,2298,Drugs,0.00135566448906,0.00690913056044
Eosinophils %,14060,Labs,1.32694817199,1.18439814199
Epinephrine,30505,Drugs,0.00902275298466,0.0187809202696
Erythromycin,1187,Drugs,0.000570623751505,0.00246216441933
Esmolol Hydrochloride,2290,Drugs,0.000739886534152,0.00139672690227
EtCO2 (mmHg),332251,Vitals,36.75189019,5.93763964342
EyeResponse,273015,Vitals,3.66357311596,0.369973385486
FDP Titer,1574,Labs,37.5061573902,31.8629139734
Famotidine,1530,Drugs,0.00155684964887,0.00771635918625
Fentanyl,179819,Drugs,0.0673696258874,0.102649475565
Ferrous Sulfate,3165,Drugs,0.00173250643941,0.00918002978676
FiO2,191964,Interventions,19.3307210371,5.30390544753
Fibrinogen (mg%),6395,Labs,343.39153214,90.2968956999
Fluconazole,1993,Drugs,0.000842472754225,0.00644558175707
Fluticasone,883,Drugs,0.00083881328645,0.00418954441234
Foley catheter,74503,Interventions,97.8901356908,78.3716156396
Fosphenytoin,885,Drugs,0.00059656937377,0.00339809791804
Frequency (HFOV) (Hz),2471,Interventions,7.09387933185,0.729720968963
Furosemide,47911,Drugs,0.0146098184424,0.0505376169622
GGT (units/L),598,Labs,208.92436134,80.881718516
Gabapentin,940,Drugs,0.000882184005256,0.00360932137954
Ganciclovir Sodium,585,Drugs,0.000181943727374,0.00131322446701
Gentamicin,996,Drugs,0.00100047615869,0.00495001000044
GlascowCS,271441,Vitals,12.884023302,1.1865006688
Glucose (mg/dL),64275,Labs,127.738966612,30.4902765654
Glycopyrrolate,1767,Drugs,0.000872961446562,0.00456289944723
Head circumference (cm),1195,Vitals,42.1869255161,0.681084696898
Heart rate (bpm),728990,Vitals,113.938661146,16.150326562
Height (cm),6080,Vitals,111.858094044,1.11163512685
Hema,43804,Labs,32.3614912858,2.96144544696
Hemo,33967,Labs,10.8644503563,1.00074477727
Hemofiltration/CRRT,13533,Interventions,301.259695196,70.7996848554
Heparin,89247,Drugs,0.0508552761263,0.0973820416438
Hydrocortisone,8742,Drugs,0.00532884848873,0.01247396564
Hydromorphone,42187,Drugs,0.0133369309208,0.0256541342479
INR,10364,Labs,1.31642330413,0.226756031392
IPAP (cmH2O),4905,Interventions,15.5729731304,1.40923498337
Ibuprofen,1869,Drugs,0.00198529806977,0.0110633834121
Immune Globulin,558,Drugs,0.000302148402328,0.00191229561837
Inspiratory time (sec),57225,Interventions,0.894299821006,0.0711189024471
Insulin,18777,Drugs,0.0103280318792,0.0163103885079
Intracranial pressure (mmHg),31762,Vitals,9.18280209615,4.67919059744
Ipratropium Bromide,2481,Drugs,0.00208857462972,0.00850621023379
Isoproterenol,1340,Drugs,0.000619107172044,0.000988344340696
Isradipine,902,Drugs,0.00061052174758,0.00296331203368
Ketamine,3625,Drugs,0.00169286810154,0.00729624202134
Ketorolac,2789,Drugs,0.00587849799778,0.0220547731916
Labetalol,2520,Drugs,0.000877900674791,0.00310631116591
Lactate (mg/dL),15629,Labs,16.2459915385,7.68388917585
Lactate Dehydrogenase blood (units/L),524,Labs,4210.14535007,2036.07508856
Lactic Acid blood (mg/dL),925,Labs,24.7292032189,11.7038720681
Lactobacillus,1625,Drugs,0.000587527687529,0.00298439119655
Lansoprazole,1547,Drugs,0.00117072120291,0.00777924604677
Left pupillary response,189203,Vitals,2.70223430458,0.475450369538
Levalbuterol,4989,Drugs,0.00263253187139,0.00855300890162
Levetiracetam,5026,Drugs,0.0035425023344,0.0156389031868
Levocarnitine,1571,Drugs,0.000742780459103,0.00326935388751
Levothyroxine Sodium,931,Drugs,0.000703727716191,0.00451693921309
Lidocaine,5839,Drugs,0.00197298787862,0.00425320455732
Lipase (units/L),1377,Labs,266.161233922,328.738741778
Lorazepam,101570,Drugs,0.0358842081968,0.0763001942454
Lymphocyte %,16378,Labs,21.678983987,7.57943551168
MAP (HFOV) (cmH2O),1032,Interventions,29.2795751324,3.27099552994
MCH (pg),23504,Labs,28.4253410829,0.366592134086
MCHC  (%),23504,Labs,33.6055608669,0.561512138853
MCV (fL),23507,Labs,84.5881846041,1.27096551973
